
###############[ Opgave A ]###############

ann1(2): 0
x=0.86, g(x)=-0.471328833351089, r(x)=-0.472629300876058
x=0.88, g(x)=-0.445674907523397, r(x)=-0.447351367958844
x=0.9, g(x)=-0.416590311009725, r(x)=-0.418455983940205
x=0.92, g(x)=-0.384670260755845, r(x)=-0.386447643430214
x=0.94, g(x)=-0.350513278692699, r(x)=-0.351825643300022
x=0.96, g(x)=-0.314711752231403, r(x)=-0.315076706035983
x=0.98, g(x)=-0.277843155485144, r(x)=-0.276668550697098


###############[ Opgave B ]###############


