100 0.08
120 0.08
140 0.08
160 0.09
180 0.09
200 0.10
220 0.11
240 0.12
260 0.14
280 0.16
300 0.18
320 0.20
340 0.24
360 0.27
380 0.30
400 0.33
420 0.40
440 0.43
460 0.48
480 0.56
500 0.66
520 0.74
540 0.83
560 0.90
580 0.98
600 1.08
620 1.24
640 1.27
660 1.38
680 1.64
700 1.78
720 1.91
740 2.02
760 2.39
780 2.34
800 2.65
820 2.71
840 2.89
860 3.81
880 3.47
900 3.43
920 3.62
940 3.89
960 4.05
980 4.46
1000 4.95
1020 5.33
1040 5.38
1060 5.67
1080 5.98
1100 6.44
1120 6.71
1140 7.11
1160 7.32
1180 7.99
1200 8.24
1220 8.14
1240 8.87
1260 9.44
1280 9.55
1300 9.35
1320 9.84
1340 10.43
1360 10.95
1380 11.18
1400 11.94
1420 12.91
1440 12.70
1460 13.40
1480 14.61
1500 15.18
